City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Glencoe,ZA,-28.18,30.15,67.03,45,100,5.26,overcast clouds
150,Laguna,US,38.42,-121.42,51.8,62,1,8.05,clear sky
151,Panjakent,TJ,39.5,67.61,64.4,15,60,6.93,broken clouds
152,Hobyo,SO,5.35,48.53,81.0,74,86,11.36,overcast clouds
153,Karakol,KG,42.49,78.39,44.46,47,0,1.59,clear sky
154,Clyde River,CA,70.47,-68.59,8.6,78,90,17.22,light snow
155,Arraial Do Cabo,BR,-22.97,-42.03,69.93,75,60,6.71,broken clouds
156,Constitucion,CL,-35.33,-72.42,55.36,69,0,8.37,clear sky
157,Goundam,ML,16.41,-3.67,77.45,18,0,9.44,clear sky
158,Klaksvik,FO,62.23,-6.59,42.8,75,98,6.93,overcast clouds
159,Yilan,TW,24.76,121.75,87.01,45,93,6.26,overcast clouds
160,Broome,US,42.25,-75.83,55.4,54,1,8.05,clear sky
161,Ouallam,NE,14.32,2.09,75.96,19,4,12.57,clear sky
162,Namibe,AO,-15.2,12.15,70.07,64,43,6.46,scattered clouds
163,Kapit,MY,2.02,112.93,84.13,74,92,2.48,overcast clouds
164,Yellowknife,CA,62.46,-114.35,9.0,92,90,5.82,light snow
165,Havoysund,NO,71.0,24.66,37.4,86,75,25.28,broken clouds
166,Husavik,IS,66.04,-17.34,37.4,59,90,14.99,overcast clouds
167,Saint-Philippe,RE,-21.36,55.77,78.8,65,0,17.22,clear sky
168,Ishigaki,JP,24.34,124.16,82.4,88,40,9.17,scattered clouds
169,Kimbe,PG,-5.55,150.14,85.95,66,49,3.62,light rain
170,Arman,RU,59.7,150.17,13.77,87,99,10.4,overcast clouds
171,Fiche,ET,9.8,38.73,54.25,61,79,2.39,broken clouds
172,Bambous Virieux,MU,-20.34,57.76,78.01,69,75,11.41,broken clouds
173,Mujiayingzi,CN,42.12,118.78,46.99,42,0,24.25,clear sky
174,Ambon,ID,-3.7,128.18,83.68,68,98,10.45,overcast clouds
175,Avera,US,33.19,-82.53,66.2,93,90,6.93,overcast clouds
176,Vostok,RU,46.49,135.88,35.15,84,56,11.9,broken clouds
177,Lagunas,PE,-5.23,-75.68,72.59,97,97,1.21,light rain
178,Bandipur,NP,27.93,84.42,71.15,52,0,2.13,clear sky
179,Alice Springs,AU,-23.7,133.88,84.2,9,57,11.41,broken clouds
180,Brumado,BR,-14.2,-41.67,70.75,93,100,2.3,moderate rain
181,Brae,GB,60.4,-1.35,50.0,87,61,5.82,broken clouds
182,Muros,ES,42.78,-9.06,51.8,87,40,11.41,scattered clouds
183,Awbari,LY,26.59,12.78,56.53,67,97,6.35,overcast clouds
184,Valley City,US,46.92,-98.0,35.6,100,1,13.87,clear sky
185,Luderitz,NA,-26.65,15.16,60.53,70,0,3.71,clear sky
186,Kushima,JP,31.46,131.23,75.2,78,75,1.12,broken clouds
187,Araouane,ML,18.9,-3.53,77.56,18,29,8.68,scattered clouds
188,Bosaso,SO,11.28,49.18,78.8,61,0,21.92,clear sky
189,Barranca,PE,-10.75,-77.77,59.99,88,50,2.35,scattered clouds
190,Figeac,FR,44.75,1.92,61.0,66,0,17.22,clear sky
191,Yaan,NG,7.38,8.57,72.07,87,56,3.2,broken clouds
192,Ust-Barguzin,RU,53.45,108.98,21.79,88,65,7.74,broken clouds
